time/iterations,rollout/ep_len_mean,train/n_updates,train/entropy_loss,time/total_timesteps,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,train/policy_loss
100,5.47,99,-1.6093744039535522,8000,0.0007,2614,3.193974018096924,3,3.5972437999999998,-0.019353747367858887,1.6940467357635498
200,5.16,199,-1.6074241399765015,16000,0.0007,2712,4.669116020202637,5,3.4626245099999995,-0.06896483898162842,1.602874517440796
300,5.96,299,-1.5788403749465942,24000,0.0007,2809,5.776141166687012,8,3.9138070999999997,-0.08933079242706299,0.7938050031661987
400,9.44,399,-1.314024567604065,32000,0.0007,2906,8.220789909362793,11,6.199231709999998,-0.03071415424346924,0.009725898504257202
500,13.03,499,-0.7164035439491272,40000,0.0007,3002,14.37748908996582,13,8.599115379999999,-0.017940282821655273,-0.5720539093017578
600,18.16,599,-0.2658151388168335,48000,0.0007,3099,15.813488960266113,15,12.251483319999998,-0.0009099245071411133,0.25597429275512695
700,14.31,699,-0.686029851436615,56000,0.0007,3196,18.118764877319336,17,9.535628299999999,0.007290661334991455,-0.38929861783981323
800,16.89,799,-0.44315725564956665,64000,0.0007,3292,8.922117233276367,19,11.162404099999998,0.03898489475250244,0.40480154752731323
900,17.29,899,-0.23032622039318085,72000,0.0007,3389,24.218029022216797,21,11.574112979999997,0.0026646852493286133,0.17430298030376434
1000,18.35,999,-0.1241527795791626,80000,0.0007,3485,13.132223129272461,22,12.306776710000001,0.1772509217262268,0.18379268050193787
1100,17.23,1099,-0.05587213486433029,88000,0.0007,3581,46.745853424072266,24,11.521691119999998,0.03210657835006714,0.15619567036628723
1200,15.37,1199,-0.06409255415201187,96000,0.0007,3678,18.582508087158203,26,10.136158909999999,0.17797040939331055,-0.004671475384384394
