train/entropy_loss,train/learning_rate,train/value_loss,train/policy_loss,train/explained_variance,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/time_elapsed,time/fps
-0.22797231376171112,0.000797132,8.282386779785156,0.3035716414451599,0.7281008958816528,12.145524209999998,100,17.99,4000,99,54,73
-0.38996657729148865,0.000763932,8.830440521240234,0.5815771222114563,0.8133489489555359,12.811161610000001,200,18.99,8000,199,108,73
-0.3272098898887634,0.000730732,3.7296414375305176,0.16621236503124237,0.9368499517440796,12.75833045,300,18.85,12000,299,162,74
-0.11291193962097168,0.0006975320000000001,4.8431620597839355,0.01186869852244854,0.8910953998565674,11.092142899999999,400,16.66,16000,399,215,74
-0.09641207009553909,0.000664332,4.600740909576416,0.15970918536186218,0.9162707328796387,12.050421469999998,500,18.16,20000,499,270,74
-0.05004727095365524,0.000631132,3.465871810913086,0.002492870669811964,0.8852881789207458,10.78119107,600,16.26,24000,599,323,74
-0.1916336566209793,0.0005979319999999999,3.8088314533233643,-0.16372978687286377,0.954633891582489,11.3739138,700,17.0,28000,699,377,74
-0.0963057428598404,0.000564732,13.13354206085205,1.6702715158462524,0.653985857963562,11.461087269999998,800,17.31,32000,799,431,74
-0.040122054517269135,0.000531532,9.55632209777832,-0.0022462494671344757,0.8062049746513367,12.811002090000002,900,19.07,36000,899,485,74
-0.03270638734102249,0.0004983320000000001,4.30935525894165,0.0032112193293869495,0.9321272969245911,11.34296793,1000,17.15,40000,999,539,74
-0.02284303866326809,0.000465132,3.7386314868927,0.004616940394043922,0.9537128806114197,13.037263900000001,1100,19.38,44000,1099,593,74
-0.028242897242307663,0.000431932,22.511445999145508,-0.005628536455333233,0.7871280908584595,12.35254661,1200,18.58,48000,1199,646,74
-0.023490335792303085,0.00039873200000000006,13.5634183883667,0.004629694856703281,0.5637611150741577,14.242380779999998,1300,20.92,52000,1299,700,74
-0.015079306438565254,0.000365532,7.275225639343262,-0.0017948439344763756,0.9047300815582275,10.178124049999997,1400,15.57,56000,1399,754,74
-0.015816859900951385,0.00033233199999999996,3.539766311645508,-1.4207745152816642e-05,0.891834020614624,11.134121729999999,1500,16.68,60000,1499,808,74
-0.027227554470300674,0.000299132,13.826858520507812,0.0037858150899410248,0.7271436452865601,10.328818919999998,1600,15.55,64000,1599,862,74
-0.03223796933889389,0.00026593200000000003,7.57958459854126,-0.005225985310971737,0.8714516162872314,11.687292150000001,1700,17.5,68000,1699,916,74
-0.029986685141921043,0.00023273199999999998,6.041069984436035,1.2647942304611206,0.8400008082389832,11.877459049999997,1800,17.98,72000,1799,970,74
-0.025379518046975136,0.00019953199999999996,3.427698850631714,-0.0009540747851133347,0.9140766263008118,12.37743254,1900,18.56,76000,1899,1024,74
-0.020352639257907867,0.00016633200000000002,3.6968772411346436,0.00037552168942056596,0.9523682594299316,12.415916849999999,2000,18.55,80000,1999,1078,74
-0.019709456712007523,0.000133132,11.15081787109375,-0.003796712029725313,0.7138051986694336,11.220351609999998,2100,16.76,84000,2099,1132,74
-0.017978550866246223,9.993199999999996e-05,6.502960205078125,-0.0009199149790219963,0.8521279096603394,11.199246790000002,2200,16.95,88000,2199,1186,74
-0.017027847468852997,6.673200000000002e-05,7.873077392578125,7.66640150686726e-05,0.7490866184234619,12.597240309999997,2300,18.72,92000,2299,1239,74
-0.01779453083872795,3.353199999999999e-05,3.3223869800567627,0.0013114300090819597,0.9062309861183167,11.536100749999996,2400,17.26,96000,2399,1294,74
-0.019200187176465988,3.3199999999996343e-07,15.683868408203125,-0.002852821722626686,0.6579031944274902,12.65442167,2500,19.04,100000,2499,1347,74
