train/learning_rate,rollout/ep_len_mean,train/loss,rollout/ep_rew_mean,time/total_timesteps,rollout/exploration_rate,train/n_updates,time/time_elapsed,time/fps,time/episodes
0.00063,5.5,0.04038720391690731,4.04472575,22,0.9983500000000001,20,2,10,4
0.00063,5.625,0.019986342638731003,3.84662925,45,0.9966250000000003,44,4,10,8
0.00063,5.166666666666667,0.01142174401320517,3.528034,62,0.9953500000000003,60,6,10,12
0.00063,4.9375,0.011122240917757154,3.3762577499999997,79,0.9940750000000003,76,7,10,16
0.00063,4.5,0.011412708554416895,3.04919815,90,0.99325,88,8,10,20
0.00063,4.541666666666667,0.004763867822475731,3.0450442083333336,109,0.9918249999999997,108,10,9,24
0.00063,4.535714285714286,0.00741168181411922,3.0732618214285723,127,0.990475,124,12,10,28
0.00063,4.6875,0.006556287407875061,3.2108447187499998,150,0.9887500000000005,148,14,10,32
0.00063,5.166666666666667,0.002677043550647795,3.5774567222222213,186,0.9860500000000002,184,18,10,36
0.00063,5.325,0.001734621764626354,3.6417876250000005,213,0.9840250000000003,212,21,10,40
0.00063,5.181818181818182,0.005523434141650796,3.5366831818181823,228,0.9829000000000003,224,22,10,44
0.00063,5.333333333333333,0.16856859624385834,3.673039479166667,256,0.9807999999999999,252,25,10,48
0.00063,5.365384615384615,0.01981809176504612,3.6642407115384623,279,0.9790750000000004,276,27,10,52
0.00063,5.482142857142857,0.007805631961673498,3.7330162321428575,307,0.9769749999999999,304,30,10,56
0.00063,5.483333333333333,0.008852990111336112,3.7433988333333335,329,0.9753249999999999,328,32,10,60
0.00063,5.46875,0.005163263936992735,3.734738890625,350,0.9737500000000003,348,34,10,64
0.00063,5.514705882352941,0.005128700577188283,3.757357926470588,375,0.9718749999999997,372,37,10,68
0.00063,5.444444444444445,0.003412444668356329,3.7049413611111115,392,0.9705999999999997,388,38,10,72
0.00063,5.342105263157895,0.005145154398633167,3.6164104210526316,406,0.9695500000000004,404,40,10,76
0.00063,5.3125,0.004655971541069448,3.6033327749999997,425,0.9681250000000001,424,42,10,80
0.00063,5.214285714285714,0.004951138631440699,3.5280798214285705,438,0.9671499999999996,436,43,10,84
0.00063,5.136363636363637,0.004709517932496965,3.4604085227272723,452,0.9661000000000002,448,44,10,88
0.00063,5.206521739130435,0.004518026951700449,3.511915184782609,479,0.9640750000000002,476,47,10,92
0.00063,5.135416666666667,0.007902916055172682,3.459115166666667,493,0.963025,492,48,10,96
0.00063,5.13,0.059735038317739964,3.4537478600000004,513,0.9615250000000002,512,50,10,100
0.00063,5.06,0.03926468826830387,3.38367393,528,0.9604000000000004,524,52,10,104
0.00063,5.12,0.015183319337666035,3.4470568499999996,557,0.9582250000000002,556,55,10,108
0.00063,5.16,0.01842611446045339,3.47260132,578,0.9566499999999999,576,57,10,112
0.00063,5.24,0.018518090713769197,3.52386381,603,0.9547750000000002,600,59,10,116
0.00063,5.24,0.012486581457778811,3.51782985,614,0.9539499999999997,612,60,10,120
0.00063,5.2,0.021303976653143764,3.48524563,629,0.9528249999999998,628,62,10,124
0.00063,5.25,0.015472871949896216,3.5251003699999996,652,0.9511000000000003,648,64,10,128
0.00063,5.17,0.007003633014392108,3.4511922,667,0.9499750000000003,664,66,10,132
0.00063,5.07,0.01449280430097133,3.3794284599999997,693,0.9480250000000001,692,68,10,136
0.00063,5.03,0.013008226407691836,3.387729529999999,716,0.9462999999999996,712,71,10,140
0.00063,5.05,0.010411205585114658,3.3934276,733,0.9450250000000004,732,72,10,144
0.00063,5.04,0.12308725900948048,3.3593773200000006,760,0.9429999999999996,756,75,10,148
0.00063,4.97,0.05826151557266712,3.32411629,776,0.9418000000000001,772,77,10,152
0.00063,4.99,0.030968420673161745,3.346971199999999,806,0.9395500000000003,804,80,10,156
0.00063,5.04,0.03189437463879585,3.3761673399999994,833,0.9375250000000004,832,82,10,160
0.00063,5.06,0.032582116313278675,3.3670127299999995,856,0.9358,852,85,10,164
0.00063,5.02,0.034709155559539795,3.3383874700000007,877,0.9342250000000004,876,87,10,168
0.00063,4.99,0.030086635146290064,3.30990147,891,0.9331750000000002,888,88,10,172
0.00063,4.99,0.03137397859245539,3.325247319999999,905,0.932125,904,90,10,176
0.00063,4.94,0.031116511672735214,3.2826335299999996,919,0.9310749999999998,916,91,10,180
0.00063,4.97,0.02516075875610113,3.29453904,935,0.9298750000000002,932,93,10,184
0.00063,5.14,0.02458005305379629,3.4293743399999994,966,0.92755,964,96,10,188
0.00063,4.97,0.031805405393242836,3.2963127099999996,976,0.9268000000000001,972,97,10,192
0.00063,5.0,0.02769265929237008,3.31452992,993,0.925525,992,98,10,196
0.00063,5.01,0.1089006494730711,3.3272767500000002,1014,0.9239499999999997,1012,100,10,200
