instances,source,feature_lanes_count,feature_vehicles_count,feature_vehicles_density,feature_episode_duration,feature_ego_spacing,feature_policy_frequency,feature_simulation_frequency,feature_collision_reward,feature_right_lane_reward,feature_high_speed_reward,feature_lane_change_reward,feature_reward_speed_min,feature_reward_speed_max,feature_observation_vehicles_count,feature_traffic_intensity_index,feature_vehicles_per_second,feature_action_space_size,feature_action_branching_factor,feature_observation_space_dim,feature_random_episodes,feature_random_total_steps,feature_random_mean_episode_return,feature_random_std_episode_return,feature_random_mean_episode_length,feature_random_std_episode_length,feature_random_collision_rate,feature_random_timeout_rate,feature_random_mean_speed,feature_random_std_speed,feature_random_action_entropy,feature_random_obs_mean,feature_random_obs_std,feature_random_obs_mean_abs,feature_random_obs_zero_fraction,feature_random_obs_flat_dim,feature_random_return_min,feature_random_return_max,feature_random_return_median,feature_random_return_p10,feature_random_return_p90,feature_random_length_min,feature_random_length_max,feature_random_speed_min,feature_random_speed_max,feature_random_return_per_step,feature_random_reward_snr,feature_random_speed_cv,feature_random_safety_index,feature_random_timeout_pressure,feature_random_safety_vs_speed,feature_idm_episodes,feature_idm_total_steps,feature_idm_mean_episode_return,feature_idm_std_episode_return,feature_idm_mean_episode_length,feature_idm_std_episode_length,feature_idm_collision_rate,feature_idm_timeout_rate,feature_idm_mean_speed,feature_idm_std_speed,feature_idm_action_entropy,feature_idm_obs_mean,feature_idm_obs_std,feature_idm_obs_mean_abs,feature_idm_obs_zero_fraction,feature_idm_obs_flat_dim,feature_idm_return_min,feature_idm_return_max,feature_idm_return_median,feature_idm_return_p10,feature_idm_return_p90,feature_idm_length_min,feature_idm_length_max,feature_idm_speed_min,feature_idm_speed_max,feature_idm_return_per_step,feature_idm_reward_snr,feature_idm_speed_cv,feature_idm_safety_index,feature_idm_timeout_pressure,feature_idm_safety_vs_speed,feature_idm_return_gain,feature_idm_return_ratio,feature_idm_collision_reduction,feature_idm_timeout_reduction,feature_idm_speed_gain,feature_random_reward_stochasticity,feature_stability_gap,feature_action_entropy_random,feature_obs_complexity,feature_difficulty_index,feature_safety_gap,feature_speed_safety_tradeoff,feature_timeout_sensitivity,algo_a2c_mean_reward,algo_ppo_mean_reward,algo_dqn_mean_reward
0,highway-fast-v0_Kinematics,2.0,0.0,0.45,30.0,3.7,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,15.0,0.0,0.0,5.0,5.0,75.0,10.0,300.0,24.0257945456317,0.8460318777944762,30.0,0.0,0.0,1.0,24.036148375329176,3.6049902506720244,1.6013127491089925,0.03325408354113179,0.16740525604922357,0.03329131589910035,0.9383225806451613,75.0,22.684971072168164,25.394113369798276,23.89882757259743,22.710543850409902,24.91455375742207,30.0,30.0,20.00000000013568,29.99999651359243,0.8008598181877233,28.39818070458983,0.14998202059653548,1.0,1.0,24.036148375329176,5.0,150.0,24.00000000000001,0.0,30.0,0.0,0.0,1.0,25.0,0.0,-0.0,0.030833333333333334,0.164371699375396,0.030833333333333334,0.96,75.0,24.00000000000001,24.00000000000001,24.00000000000001,24.00000000000001,24.00000000000001,30.0,30.0,25.0,25.0,0.8000000000000004,24000000.00000001,0.0,1.0,1.0,25.0,-0.02579454563169037,0.9989263395843564,0.0,0.0,0.9638516246708235,0.035213480285704805,0.8460318777944762,1.6013127491089925,75,0.0,0.0,0.9638516246708235,1.0,29.873112164296998,28.69734790012874,29.799140749740168
1,highway-fast-v0_GrayscaleObservation,2.0,0.0,0.45,30.0,3.7,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,,0.0,0.0,5.0,5.0,32768.0,10.0,300.0,24.88570516737872,2.086104606200069,30.0,0.0,0.0,1.0,24.926733294649924,4.003293377802315,1.603903117338947,100.67454135033393,38.543568886112936,100.67454135033393,0.04838709677419355,32768.0,21.0861874602829,27.532853071395714,25.46404449822851,21.38540915447384,26.947906888239533,30.0,30.0,20.00000000000004,29.9999999991033,0.8295235055792907,11.929264315965815,0.16060240103981652,1.0,1.0,24.926733294649924,5.0,150.0,24.00000000000001,0.0,30.0,0.0,0.0,1.0,25.0,0.0,-0.0,100.71517353673136,38.61206418469077,100.71517353673136,0.04838709677419355,32768.0,24.00000000000001,24.00000000000001,24.00000000000001,24.00000000000001,24.00000000000001,30.0,30.0,25.0,25.0,0.8000000000000004,24000000.00000001,0.0,1.0,1.0,25.0,-0.8857051673787097,0.96440904021684,0.0,0.0,0.07326670535007551,0.0838274225440557,2.086104606200069,1.603903117338947,32768,0.0,0.0,0.07326670535007551,1.0,29.939813289455934,29.81968441948802,29.799684537062337
2,highway-fast-v0_TimeToCollision,2.0,0.0,0.45,30.0,3.7,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,,0.0,0.0,5.0,5.0,90.0,10.0,300.0,25.274514031393757,1.3127557755694836,30.0,0.0,0.0,1.0,25.298126341957808,3.7504746918481096,1.5988499105545746,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.6666666666666666,90.0,23.195987814284248,27.328496082085657,25.649067075231155,23.215018922524933,26.533984861394224,30.0,30.0,20.000000000000004,29.99999999998209,0.8424838010464586,19.25300596557918,0.14825107966105536,1.0,1.0,25.298126341957808,5.0,150.0,24.00000000000001,0.0,30.0,0.0,0.0,1.0,25.0,0.0,-0.0,0.3333333333333333,0.4714045207910317,0.3333333333333333,0.6666666666666666,90.0,24.00000000000001,24.00000000000001,24.00000000000001,24.00000000000001,24.00000000000001,30.0,30.0,25.0,25.0,0.8000000000000004,24000000.00000001,0.0,1.0,1.0,25.0,-1.2745140313937462,0.9495731162473084,0.0,0.0,-0.29812634195780774,0.051939899694965264,1.3127557755694836,1.5988499105545746,90,0.0,0.0,-0.29812634195780774,1.0,29.913116192326108,28.764603002920648,25.734483506588152
3,highway-fast-v0_Kinematics,2.0,5.0,0.6,35.0,3.6,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,15.0,1.5,0.14285714285714285,5.0,5.0,75.0,10.0,175.0,13.426976000464794,9.444824235095723,17.5,12.18400590938793,0.7,0.3,23.66717189668891,4.164284168306625,1.6017080448530843,0.11100902516133077,0.299022465162907,0.12384719556516355,0.7170450450450451,75.0,3.7797849120487292,28.39565799775353,9.16521114980658,4.395587381184531,26.65553935795803,5.0,35.0,12.287542455374076,29.999999940452525,0.7672557714551311,1.4216224934021993,0.1759519054719551,0.30000000000000004,0.3,7.100151569006674,5.0,175.0,25.692423517478556,0.0,35.0,0.0,0.0,1.0,22.527596625869883,0.9749406236153788,3.5553480614894135,0.13010047524063675,0.3086243943527181,0.13184442943996855,0.7681481481481481,75.0,25.692423517478556,25.692423517478556,25.692423517478556,25.692423517478556,25.692423517478556,35.0,35.0,21.05635800978191,24.51943483398749,0.7340692433565301,25692423.517478555,0.04327761174568353,1.0,1.0,22.527596625869883,12.265447517013762,1.9134927777554975,0.7,-0.7,-1.1395752708190265,0.7034214950073108,9.444824235095723,1.6017080448530843,75,1.0551322425109662,0.7,15.42744505686321,0.3,26.88756814940864,25.636119956167455,22.85322148937835
4,highway-fast-v0_GrayscaleObservation,2.0,5.0,0.6,35.0,3.6,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,,1.5,0.14285714285714285,5.0,5.0,32768.0,10.0,188.0,14.6966491946155,7.036557263307479,18.8,9.346657156438338,1.0,0.2,24.13131502193138,4.201626072991343,1.5958146369176824,97.775390625,41.69372675924433,97.775390625,0.07575757575757576,32768.0,4.512696103475125,27.577042822845254,13.921799715611836,7.593624550517296,25.14917258186443,6.0,35.0,9.581010302173528,29.999999998967358,0.7817366592880585,2.0886133027920746,0.1741150822098869,0.0,0.2,0.0,5.0,175.0,25.692423517478556,0.0,35.0,0.0,0.0,1.0,22.527596625869883,0.9749406236153788,3.5553480614894135,101.4335428873698,37.91264262693389,101.4335428873698,0.041666666666666664,32768.0,25.692423517478556,25.692423517478556,25.692423517478556,25.692423517478556,25.692423517478556,35.0,35.0,21.05635800978191,24.51943483398749,0.7340692433565301,25692423.517478555,0.04327761174568353,1.0,1.0,22.527596625869883,10.995774322863056,1.7481822848918078,1.0,-0.8,-1.6037183960614954,0.4787864697144051,7.036557263307479,1.5958146369176824,32768,0.7181797045716076,1.0,22.527596625869883,0.2,25.944865718799377,26.414614476169866,11.046445497634508
5,highway-fast-v0_TimeToCollision,2.0,5.0,0.6,35.0,3.6,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,,1.5,0.14285714285714285,5.0,5.0,90.0,10.0,229.0,17.962447078314135,8.082600179390457,22.9,10.251341375644458,0.8,0.2,23.92554246167788,3.9781672844607003,1.6022393010061768,0.39476987447698747,0.47971698667296286,0.39476987447698747,0.5876336587633659,90.0,3.978850798293323,28.529300198751947,19.01050760622756,6.020167861908833,28.18972130614946,5.0,35.0,11.358091939711343,29.999999947261525,0.7843863352975605,2.2223596933269394,0.1662728075887859,0.19999999999999996,0.2,4.785108492335574,5.0,175.0,25.692423517478556,0.0,35.0,0.0,0.0,1.0,22.527596625869883,0.9749406236153788,3.5553480614894135,0.3743827160493827,0.4773815428763903,0.3743827160493827,0.6129629629629629,90.0,25.692423517478556,25.692423517478556,25.692423517478556,25.692423517478556,25.692423517478556,35.0,35.0,21.05635800978191,24.51943483398749,0.7340692433565301,25692423.517478555,0.04327761174568353,1.0,1.0,22.527596625869883,7.729976439164421,1.4303408647564433,0.8,-0.8,-1.3979458358079953,0.4499720831008826,8.082600179390457,1.6022393010061768,90,0.6749581246513239,0.8,17.74248813353431,0.2,28.94352158533228,24.514981415828977,27.83109903757084
6,highway-fast-v0_Kinematics,2.0,5.0,0.7,35.0,3.5,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,15.0,1.75,0.14285714285714285,5.0,5.0,75.0,10.0,158.0,12.540510657782617,6.433152802280703,15.8,8.47112743381895,0.9,0.1,24.674887005816075,4.19392898372293,1.5328759879723428,0.12214202608380999,0.3209711657197961,0.1445176018608941,0.6545238095238095,75.0,4.445552534519593,26.81778708399792,11.878319711615049,4.506111349651985,18.1612182563493,6.0,35.0,12.264323031154916,29.999999940452525,0.7937032061887732,1.949356574272593,0.16996749824089927,0.09999999999999998,0.1,2.467488700581607,5.0,175.0,25.122580182401627,0.0,35.0,0.0,0.0,1.0,21.917050195430313,1.0275194787661919,3.5553480614894135,0.13563180005108869,0.3123129966893592,0.13718090604852748,0.7555555555555555,75.0,25.122580182401627,25.122580182401627,25.122580182401627,25.122580182401627,25.122580182401627,35.0,35.0,20.65962964926586,24.345587457167834,0.717788005211475,25122580.182401627,0.04688219549263218,1.0,1.0,21.917050195430313,12.58206952461901,2.003313809513554,0.9,-0.9,-2.7578368103857613,0.5129896592606971,6.433152802280703,1.5328759879723428,75,0.8977319037062199,0.9,19.449561494848705,0.1,26.665229235087537,25.39802997600527,31.635425070553346
7,highway-fast-v0_GrayscaleObservation,2.0,5.0,0.7,35.0,3.5,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,,1.75,0.14285714285714285,5.0,5.0,32768.0,10.0,155.0,11.386855698550926,8.019201618302166,15.5,10.200490184299968,0.9,0.1,22.808198840945913,3.591829859215159,1.600906623006364,96.16833218661222,43.13784866344157,96.16833218661222,0.09090909090909091,32768.0,3.683780491473534,27.197222689790685,8.554994224838634,3.744301897411709,25.679573711414342,5.0,35.0,10.370100011105501,29.999801929812314,0.7346358515194146,1.4199486208968948,0.1574797609746915,0.09999999999999998,0.1,2.2808198840945906,5.0,175.0,25.122580182401627,0.0,35.0,0.0,0.0,1.0,21.917050195430313,1.0275194787661919,3.5553480614894135,101.4332275390625,37.912362264113874,101.4332275390625,0.041666666666666664,32768.0,25.122580182401627,25.122580182401627,25.122580182401627,25.122580182401627,25.122580182401627,35.0,35.0,20.65962964926586,24.345587457167834,0.717788005211475,25122580.182401627,0.04688219549263218,1.0,1.0,21.917050195430313,13.735724483850701,2.206278769240917,0.9,-0.9,-0.8911486455155995,0.7042506839769642,8.019201618302166,1.600906623006364,32768,1.2324386969596874,0.9,19.636230311335723,0.1,20.008088467614545,26.020220999746517,9.046445497871158
8,highway-fast-v0_TimeToCollision,2.0,5.0,0.7,35.0,3.5,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,,1.75,0.14285714285714285,5.0,5.0,90.0,10.0,141.0,10.69759096180647,5.644064004368895,14.1,7.063285354564121,1.0,0.0,23.799662628802015,4.104140683287446,1.6019818076274426,0.4094186902133922,0.4813668917243076,0.4094186902133922,0.5704194260485651,90.0,4.247864738512327,24.244315677544073,10.05478881198188,4.863667507906065,16.205530982878063,6.0,31.0,10.060612675038483,29.999977357299542,0.7586943944543596,1.8953699068890595,0.17244532306417445,0.0,0.0,0.0,5.0,175.0,25.122580182401627,0.0,35.0,0.0,0.0,1.0,21.917050195430313,1.0275194787661919,3.5553480614894135,0.3891975308641975,0.48087558822623555,0.3891975308641975,0.5978395061728395,90.0,25.122580182401627,25.122580182401627,25.122580182401627,25.122580182401627,25.122580182401627,35.0,35.0,20.65962964926586,24.345587457167834,0.717788005211475,25122580.182401627,0.04688219549263218,1.0,1.0,21.917050195430313,14.424989220595156,2.3484332055378987,1.0,-1.0,-1.8826124333717011,0.5276013540729403,5.644064004368895,1.6019818076274426,90,0.9233023696276454,1.0,21.917050195430313,0.0,25.658118742640397,25.93160772755102,30.2166021431896
9,highway-fast-v0_Kinematics,2.0,5.0,0.8,35.0,3.4,1.0,5.0,-1.0,0.1,0.4,0.0,20.0,30.0,15.0,2.0,0.14285714285714285,5.0,5.0,75.0,10.0,95.0,6.783895310508517,4.469964831381591,9.5,5.783597496368502,1.0,0.0,22.92912959020028,3.768202297831488,1.5737345397121407,0.1294536382281591,0.32202099425946745,0.14833962891593813,0.6369523809523809,75.0,3.447864738512327,17.19720127680776,4.9231777171231705,3.5244763474207916,13.71757182913047,5.0,22.0,10.24,29.913292350420836,0.7140942432114228,1.5176615585922115,0.16434126374778407,0.0,0.0,0.0,5.0,175.0,24.648200645793807,0.0,35.0,0.0,0.0,1.0,21.40878640620765,0.9922899468452655,3.5553480614894135,0.13368121005870678,0.30843391624813626,0.13495190355512832,0.7555555555555555,75.0,24.648200645793807,24.648200645793807,24.648200645793807,24.648200645793807,24.648200645793807,35.0,35.0,20.453048868013706,24.145534632628966,0.7042343041655373,24648200.645793807,0.046349656709540825,1.0,1.0,21.40878640620765,17.86430533528529,3.633339826791396,1.0,-1.0,-1.5203431839926296,0.6589081888615312,4.469964831381591,1.5737345397121407,75,1.3178163777230625,1.0,21.40878640620765,0.0,26.231528843422392,23.833136831389744,24.152241574783503
